Iteration,Loss,Urbs_1,Urbs_2,Urbs_3,Urbs_4,Urbs_5,Urbs_6,Urbs_7,Urbs_8,Civitas_1,Civitas_2
0,0.023897415984588968,0.09195514255481063,0.19412376138263424,0.14459159429741686,0.10273421379901201,0.17148904018963737,0.1368406049478852,0.12951059549600905,0.028755047332594607,0.5869346688099958,0.4130653311900044
1,0.02389603249429869,0.14731748945885614,0.18228828108464437,0.13577602760236976,0.09647063867205459,0.16103357022537562,0.1284976062737899,0.12161449823075654,0.027001888452153015,0.5869346688099958,0.4130653311900044
2,0.023892162571973928,0.13885186669868238,0.22927821394556241,0.1279736367675896,0.09092693820966832,0.15177975072125818,0.12111347106828835,0.11462590191424829,0.025450220674702453,0.5869346688099958,0.4130653311900044
3,0.023895330283004015,0.1313063278641245,0.21681869353451466,0.17536161177268816,0.08598575333631431,0.1435316800932121,0.11453187860531468,0.10839685930283634,0.024067195490995237,0.5869346688099958,0.4130653311900044
4,0.023895890080858923,0.1313063278641245,0.21681869353451466,0.12101924667555769,0.14032811843344478,0.1435316800932121,0.11453187860531468,0.10839685930283634,0.024067195490995237,0.5869346688099958,0.4130653311900044
5,0.02389588187615942,0.1313063278641245,0.21681869353451466,0.12101924667555769,0.08598575333631431,0.19787404519034257,0.11453187860531468,0.10839685930283634,0.024067195490995237,0.5869346688099958,0.4130653311900044
6,0.023896377460161402,0.1313063278641245,0.21681869353451466,0.12101924667555769,0.08598575333631431,0.1435316800932121,0.16887424370244514,0.10839685930283634,0.024067195490995237,0.5869346688099958,0.4130653311900044
7,0.02389945293631892,0.1313063278641245,0.21681869353451466,0.12101924667555769,0.08598575333631431,0.1435316800932121,0.11453187860531468,0.1627392243999668,0.024067195490995237,0.5869346688099958,0.4130653311900044
8,0.023899850786060304,0.1313063278641245,0.21681869353451466,0.12101924667555769,0.08598575333631431,0.1435316800932121,0.11453187860531468,0.10839685930283634,0.07840956058812569,0.5869346688099958,0.4130653311900044
9,0.023893939312360033,0.13885186669868238,0.22927821394556241,0.1279736367675896,0.09092693820966832,0.15177975072125818,0.12111347106828835,0.11462590191424829,0.025450220674702453,0.6648439902700702,0.33515600972992987
